"District","Constituency NO","Constituency"
"Sheopur","1","Sheopur"
"Sheopur","2","Vijaypur"
"Morena","3","Sabalgarh"
"Morena","4","Joura"
"Morena","5","Sumawali"
"Morena","6","Morena"
"Morena","7","Dimani"
"Morena","8","Ambah (SC)"
"Bhind","9","Ater"
"Bhind","10","Bhind"
"Bhind","11","Lahar"
"Bhind","12","Mehgaon"
"Bhind","13","Gohad (SC)"
"Gwalior","14","Gwalior Rural"
"Gwalior","15","Gwalior"
"Gwalior","16","Gwalior East"
"Gwalior","17","Gwalior South"
"Gwalior","18","Bhitarwar"
"Gwalior","19","Dabra (SC)"
"Datia","20","Sewda"
"Datia","21","Bhander (SC)"
"Datia","22","Datia"
"Shivpuri","23","Karera (SC)"
"Shivpuri","24","Pohari"
"Shivpuri","25","Shivpuri"
"Shivpuri","26","Pichhore"
"Shivpuri","27","Kolaras"
"Guna","28","Bamori"
"Guna","29","Guna (SC)"
"Guna","30","Chachoura"
"Guna","31","Raghogarh"
"Ashoknagar","32","Ashok Nagar (SC)"
"Ashoknagar","33","Chanderi"
"Ashoknagar","34","Mungaoli"
"Sagar","35","Bina (SC)"
"Sagar","36","Khurai"
"Sagar","37","Surkhi"
"Sagar","38","Deori"
"Sagar","39","Rehli"
"Sagar","40","Naryoli"
"Sagar","41","Sagar"
"Sagar","42","Banda"
"Tikamgarh","43","Tikamgarh"
"Tikamgarh","44","Jatara (SC)"
"Niwari","45","Prithvipur"
"Niwari","46","Niwari"
"Tikamgarh","47","Khargapur"
"Chhatarpur","48","Maharajpur"
"Chhatarpur","49","Chandla (SC)"
"Chhatarpur","50","Rajnagar"
"Chhatarpur","51","Chhatarpur"
"Chhatarpur","52","Bijawar"
"Chhatarpur","53","Malhara"
"Damoh","54","Pathariya"
"Damoh","55","Damoh"
"Damoh","56","Jabera"
"Damoh","57","Hatta (SC)"
"Panna","58","Pawai"
"Panna","59","Gunnaor (SC)"
"Panna","60","Panna"
"Satna","61","Chitrakoot"
"Satna","62","Raigaon (SC)"
"Satna","63","Satna"
"Satna","64","Nagod"
"Satna","65","Maihar"
"Satna","66","Amarpatan"
"Satna","67","Rampur-Baghelan"
"Rewa","68","Sirmour"
"Rewa","69","Semariya"
"Rewa","70","Teonthar"
"Rewa","71","Mauganj"
"Rewa","72","Devtalab"
"Rewa","73","Mangawan (SC)"
"Rewa","74","Rewa"
"Rewa","75","Gurh"
"Sidhi","76","Churhat"
"Sidhi","77","Sidhi"
"Sidhi","78","Sihawal"
"Singrauli","79","Chitrangi (ST)"
"Singrauli","80","Singrauli"
"Singrauli","81","Devsar (SC)"
"Sidhi","82","Dhauhani (ST)"
"Shahdol","83","Beohari (ST)"
"Shahdol","84","Jaisingnagar (ST)"
"Shahdol","85","Jaitpur (ST)"
"Anuppur","86","Kotma"
"Anuppur","87","Anuppur (ST)"
"Anuppur","88","Pushprajgarh (ST)"
"Umaria","89","Bandhavgarh (ST)"
"Umaria","90","Manpur (ST)"
"Katni","91","Badwara (ST)"
"Katni","92","Vijayraghavgarh"
"Katni","93","Murwara"
"Katni","94","Bahoriband"
"Jabalpur","95","Patan"
"Jabalpur","96","Bargi"
"Jabalpur","97","Jabalpur East (SC)"
"Jabalpur","98","Jabalpur North"
"Jabalpur","99","Jabalpur Cantonment"
"Jabalpur","100","Jabalpur West"
"Jabalpur","101","Panagar"
"Jabalpur","102","Sihora (ST)"
"Dindori","103","Shahpura (ST)"
"Dindori","104","Dindori (ST)"
"Mandla","105","Bichhiya (ST)"
"Mandla","106","Niwas (ST)"
"Mandla","107","Mandla (ST)"
"Balaghat","108","Baihar (ST)"
"Balaghat","109","Lanji"
"Balaghat","110","Paraswada"
"Balaghat","111","Balaghat"
"Balaghat","112","Waraseoni"
"Balaghat","113","Katangi"
"Seoni","114","Barghat (ST)"
"Seoni","115","Seoni"
"Seoni","116","Keolari"
"Seoni","117","Lakhnadon (ST)"
"Narsinghpur","118","Gotegaon (SC)"
"Narsinghpur","119","Narsingpur"
"Narsinghpur","120","Tendukheda"
"Narsinghpur","121","Gadarwara"
"Chhindwara","122","Junnardeo (ST)"
"Chhindwara","123","Amarwara (ST)"
"Chhindwara","124","Chourai"
"Chhindwara","125","Saunsar"
"Chhindwara","126","Chhindwara"
"Chhindwara","127","Parasia (SC)"
"Chhindwara","128","Pandhurna (ST)"
"Betul","129","Multai"
"Betul","130","Amla"
"Betul","131","Betul"
"Betul","132","Ghoradongri (ST)"
"Betul","133","Bhainsdehi (ST)"
"Harda","134","Timarni (ST)"
"Harda","135","Harda"
"Hoshangabad","136","Seoni-Malwa"
"Hoshangabad","137","Hoshangabad"
"Hoshangabad","138","Sohagpur"
"Hoshangabad","139","Pipariya (SC)"
"Raisen","140","Udaipura"
"Raisen","141","Bhojpur"
"Raisen","142","Sanchi (SC)"
"Raisen","143","Silwani"
"Vidisha","144","Vidisha"
"Vidisha","145","Basoda"
"Vidisha","146","Kurwai (SC)"
"Vidisha","147","Sironj"
"Vidisha","148","Shamshabad"
"Bhopal","149","Berasia (SC)"
"Bhopal","150","Bhopal Uttar"
"Bhopal","151","Narela"
"Bhopal","152","Bhopal Dakshin-Paschim"
"Bhopal","153","Bhopal Madhya"
"Bhopal","154","Govindpura"
"Bhopal","155","Huzur"
"Sehore","156","Budhni"
"Sehore","157","Ashta (SC)"
"Sehore","158","Ichhawar"
"Sehore","159","Sehore"
"Rajgarh","160","Narsinghgarh"
"Rajgarh","161","Biaora"
"Rajgarh","162","Rajgarh"
"Rajgarh","163","Khilchipur"
"Rajgarh","164","Sarangpur (SC)"
"Agar Malwa","165","Susner"
"Agar Malwa","166","Agar (SC)"
"Shajapur","167","Shajapur"
"Shajapur","168","Shujalpur"
"Shajapur","169","Kalapipal"
"Dewas","170","Sonkatch (SC)"
"Dewas","171","Dewas"
"Dewas","172","Hatpipliya"
"Dewas","173","Khategaon"
"Dewas","174","Bagli (ST)"
"Khandwa","175","Mandhata"
"Khandwa","176","Harsud (ST)"
"Khandwa","177","Khandwa (SC)"
"Khandwa","178","Pandhana (ST)"
"Burhanpur","179","Nepanagar (ST)"
"Burhanpur","180","Burhanpur"
"Khargone","181","Bhikangaon (ST)"
"Khargone","182","Barwah"
"Khargone","183","Maheshwar (SC)"
"Khargone","184","Kasrawad"
"Khargone","185","Khargone"
"Khargone","186","Bhagwanpura (ST)"
"Barwani","187","Sendhawa (ST)"
"Barwani","188","Rajpur (ST)"
"Barwani","189","Pansemal (ST)"
"Barwani","190","Barwani (ST)"
"Alirajpur","191","Alirajpur (ST)"
"Alirajpur","192","Jobat (ST)"
"Jhabua","193","Jhabua (ST)"
"Jhabua","194","Thandla (ST)"
"Jhabua","195","Petlawad (ST)"
"Dhar","196","Sardarpur (ST)"
"Dhar","197","Gandhwani (ST)"
"Dhar","198","Kukshi (ST)"
"Dhar","199","Manawar (ST)"
"Dhar","200","Dharampuri (ST)"
"Dhar","201","Dhar"
"Dhar","202","Badnawar"
"Indore","203","Depalpur"
"Indore","204","Indore-1"
"Indore","205","Indore-2"
"Indore","206","Indore-3"
"Indore","207","Indore-4"
"Indore","208","Indore-5"
"Indore","209","Dr. Ambedkar Nagar-Mhow"
"Indore","210","Rau"
"Indore","211","Sanwer (SC)"
"Ujjain","212","Nagda-Khachrod"
"Ujjain","213","Mahidpur"
"Ujjain","214","Tarana (SC)"
"Ujjain","215","Ghatiya (SC)"
"Ujjain","216","Ujjain North"
"Ujjain","217","Ujjain South"
"Ujjain","218","Badnagar"
"Ratlam","219","Ratlam Rural (ST)"
"Ratlam","220","Ratlam City"
"Ratlam","221","Sailana"
"Ratlam","222","Jaora"
"Ratlam","223","Alot (SC)"
"Mandsaur","224","Mandsour"
"Mandsaur","225","Malhargarh (SC)"
"Mandsaur","226","Suwasra"
"Mandsaur","227","Garoth"
"Neemuch","228","Manasa"
"Neemuch","229","Neemuch"
"Neemuch","230","Jawad"
