CONSTITUENCY_NO,TOTAL_VOTES,1_by_6_vote
1,211909,35318.1667
2,207102,34517
3,180152,30025.3333
4,191080,31846.6667
5,186139,31023.1667
6,170598,28433
7,161714,26952.3333
8,145133,24188.8333
9,152815,25469.1667
10,162149,27024.8333
11,175747,29291.1667
12,181531,30255.1667
13,147796,24632.6667
14,188560,31426.6667
15,197973,32995.5
16,193530,32255
17,166628,27771.3333
18,182852,30475.3333
19,176200,29366.6667
21,139828,23304.6667
22,176759,29459.8333
23,202198,33699.6667
24,193408,32234.6667
25,197952,32992
26,230989,38498.1667
27,200069,33344.8333
28,183044,30507.3333
29,172388,28731.3333
30,195247,32541.1667
31,197068,32844.6667
32,172799,28799.8333
33,159019,26503.1667
34,171276,28546
35,143679,23946.5
36,171098,28516.3333
37,171456,28576
38,172067,28677.8333
39,195286,32547.6667
40,169548,28258
41,141351,23558.5
42,194130,32355
43,177922,29653.6667
44,166169,27694.8333
45,177335,29555.8333
46,162106,27017.6667
47,188932,31488.6667
48,171653,28608.8333
49,161494,26915.6667
50,182762,30460.3333
51,171197,28532.8333
52,167743,27957.1667
53,171115,28519.1667
54,187352,31225.3333
55,187801,31300.1667
56,194154,32359
57,182195,30365.8333
58,213842,35640.3333
59,168207,28034.5
60,188993,31498.8333
61,155631,25938.5
62,157076,26179.3333
63,178327,29721.1667
64,183248,30541.3333
65,197179,32863.1667
66,185141,30856.8333
67,195351,32558.5
68,142818,23803
69,160418,26736.3333
70,149025,24837.5
71,155341,25890.1667
72,155459,25909.8333
73,156044,26007.3333
74,151827,25304.5
75,165104,27517.3333
76,188749,31458.1667
77,176918,29486.3333
78,176463,29410.5
79,180313,30052.1667
80,159105,26517.5
81,192438,32073
82,185906,30984.3333
83,209453,34908.8333
84,209522,34920.3333
85,200717,33452.8333
86,118630,19771.6667
87,139868,23311.3333
88,161431,26905.1667
89,181700,30283.3333
90,194555,32425.8333
91,198380,33063.3333
92,184947,30824.5
93,176302,29383.6667
94,200105,33350.8333
95,208863,34810.5
96,197803,32967.1667
97,172866,28811
98,157637,26272.8333
99,129127,21521.1667
100,166503,27750.5
101,207707,34617.8333
102,181523,30253.8333
103,221924,36987.3333
104,208241,34706.8333
105,214075,35679.1667
106,217895,36315.8333
107,222535,37089.1667
108,198841,33140.1667
109,212144,35357.3333
110,194940,32490
111,198375,33062.5
112,176010,29335
113,177185,29530.8333
114,216216,36036
115,233465,38910.8333
116,230858,38476.3333
117,250276,41712.6667
118,181793,30298.8333
119,195667,32611.1667
120,162596,27099.3333
121,178896,29816
122,190717,31786.1667
123,227034,37839
124,192662,32110.3333
125,185191,30865.1667
126,234427,39071.1667
127,184776,30796
128,185579,30929.8333
129,186964,31160.6667
130,168743,28123.8333
131,210572,35095.3333
132,218909,36484.8333
133,223410,37235
134,161478,26913
135,196570,32761.6667
136,207866,34644.3333
137,170657,28442.8333
138,211465,35244.1667
139,194908,32484.6667
140,215488,35914.6667
141,204965,34160.8333
142,206825,34470.8333
143,186668,31111.3333
144,176250,29375
145,175246,29207.6667
146,183774,30629
147,178720,29786.6667
148,162318,27053
149,197353,32892.1667
150,170491,28415.1667
151,230457,38409.5
152,141314,23552.3333
153,151626,25271
154,251118,41853
155,264100,44016.6667
156,233314,38885.6667
157,235425,39237.5
158,196233,32705.5
159,181501,30250.1667
160,200891,33481.8333
161,204564,34094
162,194347,32391.1667
163,202489,33748.1667
164,174950,29158.3333
165,202154,33692.3333
166,198573,33095.5
167,209087,34847.8333
168,185301,30883.5
169,194825,32470.8333
170,200837,33472.8333
171,212211,35368.5
172,180082,30013.6667
173,192077,32012.8333
174,209526,34921
175,168723,28120.5
176,181384,30230.6667
177,184275,30712.5
178,225152,37525.3333
179,206730,34455
180,246842,41140.3333
181,194076,32346
182,182184,30364
183,187839,31306.5
184,204814,34135.6667
185,196930,32821.6667
186,198891,33148.5
187,219848,36641.3333
188,210106,35017.6667
189,199800,33300
190,201271,33545.1667
191,187666,31277.6667
192,165860,27643.3333
193,206829,34471.5
194,231468,38578
195,230062,38343.6667
196,174508,29084.6667
197,183251,30541.8333
198,186680,31113.3333
199,188484,31414
200,176309,29384.8333
201,205033,34172.1667
202,188245,31374.1667
203,221553,36925.5
204,264978,44163
205,236200,39366.6667
206,134672,22445.3333
207,174583,29097.1667
208,281428,46904.6667
209,218667,36444.5
210,273657,45609.5
211,244810,40801.6667
212,179291,29881.8333
213,177232,29538.6667
214,153953,25658.8333
215,184098,30683
216,162071,27011.8333
217,183738,30623
218,171904,28650.6667
219,184441,30740.1667
220,161659,26943.1667
221,190650,31775
222,205006,34167.6667
223,185873,30978.8333
224,213046,35507.6667
225,213094,35515.6667
226,234275,39045.8333
227,205658,34276.3333
228,168681,28113.5
229,189146,31524.3333
230,159111,26518.5
